date,symbol,short_volume,short_exempt_volume,total_volume,short_ratio_pct
2026-09-10,BAC,3356362,6263,7458512,45.0
2026-09-10,COIN,1157582,3052,2236176,51.77
2026-09-10,COST,319888,1672,752744,42.5
2026-09-10,CRM,1680055,2396,2995079,56.09
2026-09-10,CVX,1567527,15448,3013133,52.02
2026-09-10,DIA,676884,3405,1930696,35.06
2026-09-10,DIS,1205387,9268,2529750,47.65
2026-09-10,GME,3227056,27804,4697268,68.7
2026-09-10,GOOGL,2150527,5990,8221994,26.16
2026-09-10,GS,192646,61,364294,52.88
2026-09-10,HOOD,3744630,12440,7727793,48.46
2026-09-10,INTC,18885408,135608,41561507,45.44
2026-09-10,IWM,5849517,5165,9049511,64.64
2026-09-10,JPM,561822,1812,1426741,39.38
2026-09-10,LLY,342982,17,712563,48.13
2026-09-10,META,3906318,21071,8594578,45.45
2026-09-10,MPC,511400,57,825172,61.97
2026-09-10,MSFT,2014319,6285,5012479,40.19
2026-09-10,MSTR,1878290,9348,5748224,32.68
2026-09-10,MU,5880147,11142,11485393,51.2
2026-09-10,NFLX,2663787,15942,8136940,32.74
2026-09-10,NKE,6774131,62185,16115693,42.03
2026-09-10,NVDA,17783021,61885,41026082,43.35
2026-09-10,ORCL,8016500,19173,19249523,41.65
2026-09-10,PLTR,5065416,14804,8175481,61.96
2026-09-10,PSX,555507,3738,876814,63.36
2026-09-10,PYPL,1793949,9137,3681958,48.72
2026-09-10,QQQ,5972517,37900,10225622,58.41
2026-09-10,RIVN,4203813,46812,9791724,42.93
2026-09-10,SHOP,1302097,421,5542748,23.49
2026-09-10,SMCI,5409220,73446,11295740,47.89
2026-09-10,SOFI,7123945,25277,17992346,39.59
2026-09-10,SPY,10026713,30691,15842137,63.29
2026-09-10,TSLA,9152582,19546,14960500,61.18
2026-09-10,TSM,1450798,6430,2842469,51.04
2026-09-10,UBER,5860109,14394,16373980,35.79
2026-09-10,UNH,634421,3959,1419070,44.71
2026-09-10,V,579743,6776,1296385,44.72
2026-09-10,VLO,831120,2361,1249493,66.52
2026-09-10,WMT,2249504,9922,5799711,38.79
2026-09-10,XOM,2157458,10696,4934621,43.72
2026-09-11,AAPL,10055092,70273,20532000,48.97
2026-09-11,ADBE,2726899,4045,4570491,59.66
2026-09-11,AMC,3127839,9291,9973116,31.36
2026-09-11,AMD,5527037,17355,8664610,63.79
2026-09-11,AMZN,3283593,41396,11319000,29.01
2026-09-11,ARM,824060,1722,1648602,49.99
2026-09-11,AVGO,2399700,7466,6461757,37.14
2026-09-11,BA,552964,6445,1799489,30.73
2026-09-11,BAC,3406075,33551,8357748,40.75
2026-09-11,COIN,2143830,3327,3659017,58.59
2026-09-11,COST,234361,723,581728,40.29
2026-09-11,CRM,1786584,4406,2824660,63.25
2026-09-11,CVX,921016,17220,2255351,40.84
2026-09-11,DIA,504308,328,1082385,46.59
2026-09-11,DIS,1133249,56669,2346732,48.29
2026-09-11,GME,2577300,5918,4186303,61.57
2026-09-11,GOOGL,2075505,24762,8572217,24.21
2026-09-11,GS,183844,3654,401880,45.75
2026-09-11,HOOD,4774331,11225,9509379,50.21
2026-09-11,INTC,14477684,93347,37900211,38.2
2026-09-11,IWM,6053347,3603,10805975,56.02
2026-09-11,JPM,668650,5491,1723150,38.8
2026-09-11,LLY,242478,172,634726,38.2
2026-09-11,META,2082466,21020,5788009,35.98
2026-09-11,MPC,640744,1598,1051592,60.93
2026-09-11,MSFT,2757608,11270,5526965,49.89
2026-09-11,MSTR,2490838,3570,8312264,29.97
2026-09-11,MU,3742629,11615,9538658,39.24
2026-09-11,NFLX,2831240,29878,8167092,34.67
2026-09-11,NKE,4847547,30840,8817905,54.97
2026-09-11,NVDA,13390507,99044,35300144,37.93
2026-09-11,ORCL,18027951,125688,38974050,46.26
2026-09-11,PLTR,3747792,98231,6472599,57.9
2026-09-11,PSX,472954,1007,813376,58.15
2026-09-11,PYPL,1275435,3920,2810210,45.39
2026-09-11,QQQ,5930446,17002,8781631,67.53
2026-09-11,RIVN,4314792,19420,10797187,39.96
2026-09-11,SHOP,551949,1968,3920186,14.08
2026-09-11,SMCI,11846519,54339,24431833,48.49
2026-09-11,SOFI,4953206,20010,14320481,34.59
2026-09-11,SPY,10083329,51725,15576682,64.73
2026-09-11,TSLA,8613654,25550,14382571,59.89
2026-09-11,TSM,1692856,1079,3950235,42.85
2026-09-11,UBER,3854940,17029,11612593,33.2
2026-09-11,UNH,1304469,2328,3142372,41.51
2026-09-11,V,615003,2302,1239314,49.62
2026-09-11,VLO,882257,997,1250085,70.58
2026-09-11,WMT,2032801,7343,5714165,35.57
2026-09-11,XOM,1927320,24940,4220560,45.67
2026-09-14,AAPL,6475246,71836,13998279,46.26
2026-09-14,ADBE,1160706,8290,2093480,55.44
2026-09-14,AMC,3873051,3567,10681820,36.26
2026-09-14,AMD,6813054,20410,10698698,63.68
2026-09-14,AMZN,4815064,20051,14531336,33.14
2026-09-14,ARM,1609291,50126,2664228,60.4
2026-09-14,AVGO,4732724,5481,9658895,49.0
2026-09-14,BA,604010,1786,1433577,42.13
2026-09-14,BAC,9331840,138357,20740581,44.99
2026-09-14,COIN,2810683,12186,5307701,52.95
2026-09-14,COST,280507,1044,672135,41.73
2026-09-14,CRM,3066047,13698,4552724,67.35
2026-09-14,CVX,1569887,5547,2957506,53.08
2026-09-14,DIA,509767,109,1173487,43.44
2026-09-14,DIS,1176040,18462,2527932,46.52
2026-09-14,GME,2250986,1942,3542062,63.55
2026-09-14,GOOGL,3922914,27569,12573084,31.2
2026-09-14,GS,491972,668,806613,60.99
2026-09-14,HOOD,3609351,23232,7678928,47.0
2026-09-14,INTC,20274415,87675,43021257,47.13
2026-09-14,IWM,4824404,890,8279685,58.27
2026-09-14,JPM,1243849,16081,2504974,49.66
2026-09-14,LLY,362654,3034,804708,45.07
2026-09-14,META,3353749,7363,7567791,44.32
2026-09-14,MPC,889763,475,1351833,65.82
2026-09-14,MSFT,3050221,29318,8754339,34.84
2026-09-14,MSTR,3009757,15306,6893939,43.66
2026-09-14,MU,6205699,24711,12761016,48.63
2026-09-14,NFLX,4900493,101202,12213033,40.13
2026-09-14,NKE,6353321,22004,10988673,57.82
2026-09-14,NVDA,23260788,157180,52819239,44.04
2026-09-14,ORCL,5629388,25467,18296976,30.77
2026-09-14,PLTR,8682779,48966,13539907,64.13
2026-09-14,PSX,640877,1878,1081759,59.24
2026-09-14,PYPL,859690,1214,2039029,42.16
2026-09-14,QQQ,7558006,23284,11921342,63.4
2026-09-14,RIVN,4689667,10187,8954919,52.37
2026-09-14,SHOP,943765,3301,3142246,30.03
2026-09-14,SMCI,8439637,16722,17124379,49.28
2026-09-14,SOFI,6273119,38541,17697651,35.45
2026-09-14,SPY,7644666,27259,17794980,42.96
2026-09-14,TSLA,9455765,28885,15490819,61.04
2026-09-14,TSM,1994924,13704,4183304,47.69
2026-09-14,UBER,3043710,38464,7961746,38.23
2026-09-14,UNH,462125,1124,1563003,29.57
2026-09-14,V,1165700,17647,2003610,58.18
2026-09-14,VLO,1480757,17084,2027826,73.02
2026-09-14,WMT,2579608,7526,6876008,37.52
2026-09-14,XOM,1895213,4935,4576466,41.41
2026-09-15,AAPL,4652487,38051,11601146,40.1
2026-09-15,ADBE,922916,3324,1526624,60.45
2026-09-15,AMC,4319410,6383,9775241,44.19
2026-09-15,AMD,4377347,16021,7665174,57.11
2026-09-15,AMZN,5863571,124565,15863735,36.96
2026-09-15,ARM,836432,74426,1700773,49.18
2026-09-15,AVGO,3274907,25170,10411964,31.45
2026-09-15,BA,544088,610,1479554,36.77
2026-09-15,BAC,8083337,8128,15109941,53.5
2026-09-15,COIN,6092163,274919,8920937,68.29
2026-09-15,COST,295676,851,757495,39.03
2026-09-15,CRM,2277297,12397,3540684,64.32
2026-09-15,CVX,1491420,21195,3307702,45.09
2026-09-15,DIA,517513,653,1224242,42.27
2026-09-15,DIS,1316179,7699,2839834,46.35
2026-09-15,GME,1281008,6585,2042372,62.72
2026-09-15,GOOGL,2132432,18126,7321449,29.13
2026-09-15,GS,422818,1415,978950,43.19
2026-09-15,HOOD,7886545,41574,15114477,52.18
2026-09-15,INTC,15360604,124586,39182696,39.2
2026-09-15,IWM,6603099,3628,10932005,60.4
2026-09-15,JPM,2119832,2558,3729205,56.84
2026-09-15,LLY,299753,210,644206,46.53
2026-09-15,META,3674739,14101,8286782,44.34
2026-09-15,MPC,685016,3276,1118637,61.24
2026-09-15,MSFT,1930397,20606,6307886,30.6
2026-09-15,MSTR,4978315,37548,9953903,50.01
2026-09-15,MU,3248641,12915,9822729,33.07
2026-09-15,NFLX,4348118,19808,10480607,41.49
2026-09-15,NKE,8249501,51815,16065886,51.35
2026-09-15,NVDA,12978591,135303,32536058,39.89
2026-09-15,ORCL,4295226,14845,14624964,29.37
2026-09-15,PLTR,7035149,62966,12612691,55.78
2026-09-15,PSX,623472,554,963972,64.68
2026-09-15,PYPL,911723,4843,1935588,47.1
2026-09-15,QQQ,6189608,34638,9503121,65.13
2026-09-15,RIVN,5516534,54116,11181933,49.33
2026-09-15,SHOP,670340,399,2407922,27.84
2026-09-15,SMCI,5242941,26875,12370114,42.38
2026-09-15,SOFI,13557432,19486,34292642,39.53
2026-09-15,SPY,11115783,60777,17924980,62.01
2026-09-15,TSLA,8555226,56561,16300134,52.49
2026-09-15,TSM,1242322,8320,3303895,37.6
2026-09-15,UBER,3077610,12268,5913749,52.04
2026-09-15,UNH,465163,5691,1596085,29.14
